Number of Hidden Nodes, Learning Rate, Activation Function, RMSE (1), RMSE (2), RMSE (3), RMSE (Average)
10, 0.2, SIGMOID, 33.97857763647751, 33.94317268089466, 32.865039418349326, 33.59559657857383
10, 0.2, TANH, 37.67990471589511, 37.5271439420819, 37.55601699728515, 37.58768855175405
10, 0.2, RELU, 37.93646965645062, 35.68274567276715, 34.67195319629352, 36.09705617517043
10, 0.25, SIGMOID, 34.78383875734041, 35.27427947076593, 33.73641849835211, 34.598178908819484
10, 0.25, TANH, 37.68360806992821, 37.626656834540185, 37.85025442691984, 37.720173110462746
10, 0.25, RELU, 33.38186468310856, 36.844138744860544, 35.853188050798046, 35.35973049292238
10, 0.3, SIGMOID, 33.97506328251512, 33.93889852251784, 34.00250795244498, 33.97215658582598
10, 0.3, TANH, 37.74414143356933, 37.871086434303095, 37.657264778032875, 37.757497548635094
10, 0.3, RELU, 40.30042804197376, 43.053751375360335, 36.95552493714897, 40.10323478482769
10, 0.35, SIGMOID, 35.67062566828984, 32.92527172814181, 34.452528652446695, 34.34947534962611
10, 0.35, TANH, 37.875794925981424, 37.653174815018474, 37.70576902458674, 37.744912921862216
10, 0.35, RELU, 39.69750706298676, 36.32559920625169, 40.22076611601577, 38.747957461751405
10, 0.4, SIGMOID, 35.42068066862933, 34.476258407739664, 34.851703303255626, 34.91621412654154
10, 0.4, TANH, 37.5998808657838, 37.70756236407807, 37.77113880408212, 37.692860677981336
10, 0.4, RELU, 38.12619875347731, 39.1366205694079, 44.57443109389114, 40.61241680559212
10, 0.45, SIGMOID, 35.36957592557029, 35.44962256723047, 35.17321395383301, 35.330804148877924
10, 0.45, TANH, 37.22737457213036, 37.30187383166601, 37.14526413514936, 37.224837512981914
10, 0.45, RELU, 41.16279617669681, 38.47744796202613, 47.72215042748291, 42.45413152206862
10, 0.5, SIGMOID, 34.84513696340758, 34.6177942586256, 35.29048720218501, 34.91780614140606
10, 0.5, TANH, 36.7470789490293, 36.94809807068945, 36.74605879583386, 36.81374527185087
10, 0.5, RELU, 43.41998093982992, 43.20051428208995, 40.907957245931044, 42.509484155950304
11, 0.05, SIGMOID, 51.84399134296157, 51.829732865632664, 52.08265105717924, 51.91879175525782
11, 0.05, TANH, 34.643029696933134, 33.94499705093158, 34.126462682118394, 34.238163143327704
